,mouse_id,region,treatment,sex,time,density
0,0,CH,morphine,M,1h,1029.2280121816507
1,1,CH,morphine,M,4h,404.22292808389483
2,2,CH,saline,M,1h,828.7314968385649
3,3,CH,saline,M,4h,474.3381642980004
4,4,CH,morphine,F,4h,373.25071330707146
5,5,CH,saline,F,4h,80.07680529260631
6,6,CH,morphine,M,1h,392.12259417412935
7,7,CH,morphine,M,4h,186.3009169037083
8,8,CH,saline,M,4h,119.85420612899242
9,9,CH,morphine,F,4h,131.61016265067292
10,10,CH,saline,F,1h,386.1014274203485
11,11,CH,saline,M,1h,93.46402312626839
12,12,CH,morphine,M,1h,175.9732202862961
13,13,CH,saline,M,4h,34.95611740319614
14,14,CH,morphine,M,1h,460.6536944030439
15,15,CH,morphine,F,4h,165.4280221606197
16,16,CH,saline,F,4h,53.070368016467015
17,17,CH,morphine,M,1h,172.3010698217687
18,18,CH,saline,M,1h,35.405620520275505
19,19,CH,morphine,F,1h,317.3709508088584
20,20,CH,morphine,F,1h,321.57597996863313
21,21,CH,morphine,F,1h,147.9300258207641
22,22,CH,morphine,M,4h,460.63919430249297
23,23,CH,morphine,M,4h,390.91908582840074
24,24,CH,saline,F,1h,231.54848067293926
25,25,CH,saline,F,4h,109.2292574502858
26,26,CH,saline,F,4h,34.013610867384564
27,0,CTX,morphine,M,1h,1257.303927620028
28,1,CTX,morphine,M,4h,499.77532071124506
29,2,CTX,saline,M,1h,1026.6616593889428
30,3,CTX,saline,M,4h,587.5588648993245
31,4,CTX,morphine,F,4h,388.4242399259547
32,5,CTX,saline,F,4h,86.06822836602608
33,6,CTX,morphine,M,1h,420.9836426219292
34,7,CTX,morphine,M,4h,214.91553053625992
35,8,CTX,saline,M,4h,133.77206417512892
36,9,CTX,morphine,F,4h,161.23968727300843
37,10,CTX,saline,F,1h,380.5653850675474
38,11,CTX,saline,M,1h,111.10732537899858
39,12,CTX,morphine,M,1h,206.81743426056627
40,13,CTX,saline,M,4h,38.23348687576655
41,14,CTX,morphine,M,1h,521.7990730686081
42,15,CTX,morphine,F,4h,192.16051196002152
43,16,CTX,saline,F,4h,56.25784497434222
44,17,CTX,morphine,M,1h,186.84754690066174
45,18,CTX,saline,M,1h,42.06134955234862
46,19,CTX,morphine,F,1h,364.5632940433925
47,20,CTX,morphine,F,1h,380.9535881220121
48,21,CTX,morphine,F,1h,175.90563755156398
49,22,CTX,morphine,M,4h,528.2992172363889
50,23,CTX,morphine,M,4h,445.81509614065317
51,24,CTX,saline,F,1h,253.78548986178834
52,25,CTX,saline,F,4h,122.30653210140434
53,26,CTX,saline,F,4h,39.289760303030945
54,0,CTXpl,morphine,M,1h,1295.060145284638
55,1,CTXpl,morphine,M,4h,520.5769016217357
56,2,CTXpl,saline,M,1h,1069.18899143521
57,3,CTXpl,saline,M,4h,611.3373548551148
58,4,CTXpl,morphine,F,4h,379.7143078403628
59,5,CTXpl,saline,F,4h,77.56355035365772
60,6,CTXpl,morphine,M,1h,413.0640007555815
61,7,CTXpl,morphine,M,4h,204.3826829807727
62,8,CTXpl,saline,M,4h,126.31590076391821
63,9,CTXpl,morphine,F,4h,165.77962566190158
64,10,CTXpl,saline,F,1h,353.81432774106656
65,11,CTXpl,saline,M,1h,114.9390981744507
66,12,CTXpl,morphine,M,1h,191.60435613679454
67,13,CTXpl,saline,M,4h,34.14922017450332
68,14,CTXpl,morphine,M,1h,493.19544454200036
69,15,CTXpl,morphine,F,4h,177.89481519082605
70,16,CTXpl,saline,F,4h,48.59714805992876
71,17,CTXpl,morphine,M,1h,172.072375502624
72,18,CTXpl,saline,M,1h,42.76530216867631
73,19,CTXpl,morphine,F,1h,358.50802306321975
74,20,CTXpl,morphine,F,1h,374.0564767055429
75,21,CTXpl,morphine,F,1h,176.3945258042861
76,22,CTXpl,morphine,M,4h,528.5627680115314
